minute;value
1.0;7
2.0;28
3.0;50
4.0;61
5.0;45
6.0;36
7.0;55
8.0;19
9.0;7
10.0;6
11.0;-17
12.0;-10
13.0;-21
14.0;-10
15.0;-16
16.0;-34
17.0;-17
18.0;-3
19.0;7
20.0;41
21.0;45
22.0;51
23.0;35
24.0;65
25.0;71
26.0;53
27.0;35
28.0;82
29.0;47
30.0;83
31.0;49
32.0;30
33.0;50
34.0;51
35.0;26
36.0;-30
37.0;12
38.0;2
39.0;-1
40.0;24
41.0;18
42.0;41
43.0;41
44.0;26
45.0;44
45.5;-1
46.0;-5
47.0;10
48.0;13
49.0;31
50.0;37
51.0;24
52.0;37
53.0;12
54.0;13
55.0;22
56.0;46
57.0;26
58.0;17
59.0;10
60.0;9
61.0;-33
62.0;-2
63.0;-6
64.0;9
65.0;38
66.0;70
67.0;59
68.0;35
69.0;20
70.0;-26
71.0;-15
72.0;-12
73.0;-4
74.0;-44
75.0;-45
76.0;-21
77.0;-7
78.0;6
79.0;100
80.0;68
81.0;40
82.0;23
83.0;36
84.0;12
85.0;22
86.0;21
87.0;62
88.0;41
89.0;39
90.0;90
90.5;39
